dropdex_id,artist,track,drop_no,drop_class,secondary_class,dropdex_rank_global,battle_score_abs,dropdex_score_abs,wins,losses,matchups,win_rate,battle_engine_rank
DROP0205,HOL!,HOL!,3,Impact Cannon,Vacuum Striker,1.0,76.91471301146512,67.74655629735865,322,0,322,1.0,1
DROP0139,Kai Wachi,ILL,1,Vacuum Striker,Impact Cannon,2.0,65.30595292136786,61.95736089819975,320,2,322,0.9937888198757764,2
DROP0009,"Subtronics, Wooli",Lock In,1,Impact Cannon,Vacuum Striker,3.0,67.5622432580031,61.54178061984685,319,3,322,0.9906832298136646,3
DROP0323,"LEVEL UP, Subtronics, Wooli",Dingus,1,Impact Cannon,Technical Weapon,4.0,63.071963295542695,59.95978365267994,313,9,322,0.9720496894409938,4
DROP0014,"Subtronics, Creg",Antidote (Midnight Coffee) (feat. CREG),1,Groove Driver,Technical Weapon,67.0,48.81604917151021,49.48800179411799,313,9,322,0.9720496894409938,5
DROP0013,Subtronics,Scream Saver,1,Filth Monster,Impact Cannon,13.0,56.34790990313802,55.02911527105324,310,12,322,0.9627329192546584,6
DROP0128,Svdden Death,Prelude I,2,Pressure Engine,Impact Cannon,61.0,50.490800960057335,49.91448803786464,308,14,322,0.9565217391304348,7
DROP0195,"Excision, Kai Wachi, Sullivan King",Bonebreaker,3,Impact Cannon,Groove Driver,6.0,61.9032419119925,57.72259158161595,307,15,322,0.953416149068323,8
DROP0123,Svdden Death,Creator,3,Filth Monster,Impact Cannon,20.0,52.93264133479549,53.56418041620805,304,18,322,0.9440993788819876,9
DROP0158,Levity,Can_t Get Enough,4,Vacuum Striker,Impact Cannon,7.0,59.348597364600145,56.83500811518478,303,19,322,0.9409937888198758,10
DROP0377,Crankdat,STFU,3,Technical Weapon,Impact Cannon,8.0,58.09577864330644,56.54742395022171,300,22,322,0.9316770186335404,11
DROP0212,"Noisia, Skrillex, josh pan, Dylan Brady",Supersonic (My Existence),1,Vacuum Striker,Impact Cannon,15.0,57.60258913039355,54.53902225662314,297,25,322,0.922360248447205,12
DROP0063,LEVEL UP,The Other Side,1,Filth Monster,Impact Cannon,40.0,51.15248336799558,51.22193050004795,296,26,322,0.9192546583850931,13
DROP0379,"Crankdat, Bandlez",Ground Shake,2,Pressure Engine,Filth Monster,99.0,46.74998446147762,47.28374107303296,296,26,322,0.9192546583850931,14
DROP0411,YDG,Apocalypse,1,Technical Weapon,Vacuum Striker,5.0,62.491884428408085,59.23190709490996,293,29,322,0.9099378881987578,15
DROP0204,HOL!,HOL!,2,Impact Cannon,Filth Monster,14.0,57.675896128144,54.91032063604682,290,32,322,0.9006211180124224,16
DROP0122,Svdden Death,Creator,2,Technical Weapon,Impact Cannon,25.0,52.19595439566855,52.343936119171715,289,33,322,0.8975155279503105,17
DROP0056,Space Laces,In The Place,2,Impact Cannon,Technical Weapon,35.0,50.72459474384309,51.63453345042036,289,33,322,0.8975155279503105,18
DROP0434,Sullivan King,HEADLOCK,1,Cinematic,Impact Cannon,86.0,46.8746316622487,47.846895512309864,289,33,322,0.8975155279503105,19
DROP0375,Crankdat,STFU,1,Technical Weapon,Impact Cannon,12.0,55.385294825853784,55.148619846211055,288,34,322,0.8944099378881988,20
DROP0243,HOL!,HOL!,7,Impact Cannon,Technical Weapon,9.0,65.02268732946978,56.488607545078295,287,35,322,0.8913043478260869,21
DROP0349,LEVEL UP,Dark Side,1,Filth Monster,Impact Cannon,18.0,53.79400107715785,53.59406529055343,287,35,322,0.8913043478260869,22
DROP0235,Virtual Riot,Sh_t_s On F_re,3,Impact Cannon,Groove Driver,42.0,51.17516115694536,51.05616838985948,286,36,322,0.8881987577639752,23
DROP0030,Subtronics,Fuck Up,2,Impact Cannon,Filth Monster,26.0,54.3779516615712,52.322744076585266,284,38,322,0.8819875776397516,24
DROP0023,Subtronics,Fuck Up,3,Impact Cannon,Technical Weapon,38.0,53.058336030497344,51.28775567273399,283,39,322,0.8788819875776398,25
DROP0143,Kai Wachi,LOADED,2,Filth Monster,Impact Cannon,23.0,50.62947987853425,52.85381842940877,281,41,322,0.8726708074534162,26
DROP0002,"Jem Cooke, Subtronics",By A Thread (feat. Jem Cooke),1,Impact Cannon,Filth Monster,17.0,57.04478815627171,53.66838812068304,280,42,322,0.8695652173913043,27
DROP0162,"Subtronics, Creg",Antidote (Midnight Coffee) (feat. CREG),2,Technical Weapon,Groove Driver,59.0,49.25357732982113,49.99711779771039,280,42,322,0.8695652173913043,28
DROP0228,"Tape B, VKTM",Nocturnal,2,Impact Cannon,Vacuum Striker,11.0,60.02433246577488,55.21234863136158,278,44,322,0.8633540372670807,29
DROP0092,HOL!,COUNTRY RIDDIM,2,Impact Cannon,Filth Monster,16.0,57.00486640026134,54.33386611601698,278,44,322,0.8633540372670807,30
DROP0148,"TYNAN, maddietiedt",wubmart,1,Impact Cannon,Technical Weapon,33.0,53.68772500858201,51.810476186976715,278,44,322,0.8633540372670807,31
DROP0118,Subtronics,Itchy Scratchy,1,Impact Cannon,Technical Weapon,45.0,51.48364177653291,50.78639414075304,278,44,322,0.8633540372670807,32
DROP0339,YDG,Lose Control,2,Impact Cannon,Filth Monster,46.0,52.33261845206383,50.74607297307945,277,45,322,0.860248447204969,33
DROP0311,"Zeds Dead, GRiZ",Ecstasy Of Soul,1,Filth Monster,Impact Cannon,76.0,48.70254426293364,48.54348848919733,275,47,322,0.8540372670807453,34
DROP0230,"Tape B, Wooli",Dopamine,1,Impact Cannon,Technical Weapon,55.0,50.7002367124815,50.31595884626688,274,48,322,0.8509316770186336,35
DROP0182,"Kai Wachi, RUNN",Better Off Alone,1,Impact Cannon,Vacuum Striker,10.0,60.2540454545768,55.24722187368819,272,50,322,0.84472049689441,36
DROP0426,"LEVEL UP, Kai Wachi",OUT OF MY MIND,2,Impact Cannon,Filth Monster,28.0,54.35831024862715,52.129843261788224,272,50,322,0.84472049689441,37
DROP0201,"GRiZ, Wooli",Chaos Theory,2,Impact Cannon,Filth Monster,39.0,50.70776617870666,51.245820461707055,270,52,322,0.8385093167701864,38
DROP0125,Svdden Death,Forgotten Name,2,Impact Cannon,Filth Monster,24.0,52.819119800925286,52.63205821088525,269,53,322,0.8354037267080745,39
DROP0142,Kai Wachi,LOADED,1,Filth Monster,Impact Cannon,34.0,49.70401919891042,51.775324577107995,269,53,322,0.8354037267080745,40
DROP0090,HOL!,COUNTRY RIDDIM,1,Impact Cannon,Filth Monster,22.0,56.3755565800592,52.92383134794698,268,54,322,0.8322981366459627,41
DROP0105,Levity,Can_t Get Enough,2,Vacuum Striker,Impact Cannon,30.0,54.0145472342928,52.087546955189886,268,54,322,0.8322981366459627,42
DROP0188,Crankdat,Movement,2,Impact Cannon,Technical Weapon,31.0,53.32881174948368,51.82857205929112,267,55,322,0.8291925465838509,43
DROP0008,Subtronics,Gangstas,1,Impact Cannon,Technical Weapon,57.0,54.88018916212063,50.12616500147572,266,56,322,0.8260869565217391,44
DROP0397,Levity,Heartbreak,2,Impact Cannon,Groove Driver,41.0,51.063093254189106,51.14647509165864,265,57,322,0.8229813664596274,45
DROP0189,Crankdat,Movement,3,Impact Cannon,Technical Weapon,19.0,52.5629136529667,53.5737211787296,264,58,322,0.8198757763975155,46
DROP0429,Ray Volpe,SEE YOU DROP,2,Impact Cannon,Technical Weapon,60.0,47.78008099785407,49.92019571787896,263,59,322,0.8167701863354038,47
DROP0022,Subtronics,Anxious,3,Impact Cannon,Technical Weapon,74.0,49.31828034496209,48.715537299500085,262,60,322,0.8136645962732919,48
DROP0124,Svdden Death,Forgotten Name,1,Filth Monster,Impact Cannon,36.0,50.09363150189944,51.45432685680467,261,61,322,0.8105590062111802,49
DROP0062,LEVEL UP,That One Dubstep Song,2,Technical Weapon,Filth Monster,50.0,49.76094038243562,50.48526533672111,260,62,322,0.8074534161490683,50
DROP0385,"Excision, Sullivan King",Bass To The Dome,2,Cinematic,Technical Weapon,205.0,40.57868815878278,43.0485875978981,260,62,322,0.8074534161490683,51
DROP0119,Subtronics,Itchy Scratchy,2,Impact Cannon,Technical Weapon,49.0,51.45464788281968,50.50979945186727,258,64,322,0.8012422360248447,52
DROP0021,Subtronics,Anxious,2,Technical Weapon,Impact Cannon,94.0,48.39714887684117,47.44915551205751,258,64,322,0.8012422360248447,53
DROP0338,YDG,Lose Control,1,Filth Monster,Impact Cannon,27.0,51.772789384753395,52.206202747792176,256,66,322,0.7950310559006211,54
DROP0076,Flux Pavilion,Bass Cannon (Flux_s Version),2,Impact Cannon,Vacuum Striker,79.0,51.438549167352214,48.39498588484159,254,68,322,0.7888198757763976,55
DROP0276,Deathpact,GATEKEEPER,2,Impact Cannon,Filth Monster,63.0,51.49975355908716,49.751931070484275,253,69,322,0.7857142857142857,56
DROP0007,Subtronics,Fuck Up,1,Impact Cannon,Filth Monster,68.0,50.87577408837736,49.4694916082362,253,69,322,0.7857142857142857,57
DROP0035,Excision,Virus,1,Filth Monster,Cinematic,95.0,42.73271819191532,47.35769229246473,253,69,322,0.7857142857142857,58
DROP0227,"Tape B, VKTM",Nocturnal,1,Impact Cannon,Vacuum Striker,21.0,58.94308030242616,53.51513878209468,252,70,322,0.782608695652174,59
DROP0371,Crankdat,Ding Dong,3,Impact Cannon,Technical Weapon,80.0,48.18472922338753,48.361020152079384,249,73,322,0.7732919254658385,60
DROP0299,MUST DIE!,CHAOS,1,Vacuum Striker,Impact Cannon,82.0,50.6206590379325,48.25627325493766,249,73,322,0.7732919254658385,61
DROP0065,LEVEL UP,That One Dubstep Song,1,Technical Weapon,Filth Monster,44.0,50.27217826131812,50.975869153818714,247,75,322,0.7670807453416149,62
DROP0181,"Excision, Wooli",Name Drop,3,Filth Monster,Technical Weapon,53.0,48.551433554098665,50.4093667162314,245,77,322,0.7608695652173914,63
DROP0437,Zomboy,Doomsday,1,Impact Cannon,Filth Monster,98.0,46.49946122238297,47.29248325079171,245,77,322,0.7608695652173914,64
DROP0020,TYNAN,His Name Is,2,Impact Cannon,Filth Monster,54.0,51.94885248210243,50.33794475347538,244,78,322,0.7577639751552795,65
DROP0133,Flux Pavilion,Bass Cannon (Flux_s Version),4,Impact Cannon,Vacuum Striker,88.0,51.04422207100859,47.70299252122638,244,78,322,0.7577639751552795,66
DROP0025,Subtronics,Gangstas,3,Impact Cannon,Technical Weapon,66.0,53.28981313544927,49.57214318219962,243,79,322,0.7546583850931677,67
DROP0215,Ray Volpe,HAPPY SONG,1,Filth Monster,Technical Weapon,84.0,47.16679417448171,48.178663288006646,243,79,322,0.7546583850931677,68
DROP0350,LEVEL UP,Dark Side,2,Filth Monster,Impact Cannon,47.0,48.71646348919036,50.560297021574435,242,80,322,0.7515527950310559,69
DROP0425,"LEVEL UP, Kai Wachi",OUT OF MY MIND,1,Impact Cannon,Technical Weapon,52.0,50.8394477839158,50.44549463703109,242,80,322,0.7515527950310559,70
DROP0010,"Subtronics, Wooli",Lock In,2,Impact Cannon,Filth Monster,58.0,51.018698413729176,49.99903419067443,241,81,322,0.7484472049689441,71
DROP0121,Svdden Death,Creator,1,Impact Cannon,Technical Weapon,92.0,48.2888693324347,47.52695269178446,241,81,322,0.7484472049689441,72
DROP0019,TYNAN,His Name Is,1,Impact Cannon,Filth Monster,37.0,51.33128047847299,51.35582399400522,240,82,322,0.7453416149068323,73
DROP0134,Flux Pavilion,I Cant Stop,4,Vacuum Striker,Groove Driver,62.0,48.73742896688577,49.860060481716744,240,82,322,0.7453416149068323,74
DROP0082,Flux Pavilion,I Cant Stop,2,Vacuum Striker,Groove Driver,65.0,48.46943422916955,49.67078421636448,240,82,322,0.7453416149068323,75
